Number of vertices,Number of edges,Time in nanoseconds,Time in seconds,Count
287,82082,11102108,0.011102108,109155
288,82656,12253935,0.012253935,115878
289,83232,14179083,0.014179083,118701
290,83810,11805729,0.011805729,118205
291,84390,14699383,0.014699383,117422
292,84972,11105012,0.011105012,114662
293,85556,16587064,0.016587064,123786
294,86142,11388798,0.011388798,117276
295,86730,12006453,0.012006453,116308
296,87320,16054573,0.016054573,119931
297,87912,11852888,0.011852888,116554
298,88506,16687358,0.016687358,118634
299,89102,12293092,0.012293092,122459
300,89700,16588442,0.016588442,110265
